transaction_id,transaction_date,month_start,tx_year,tx_month,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,current_age,gender,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,card_has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,credit_score_band,age_group,utilization_ratio
7475340,"2010-01-01 00:26:00",2010-01-01,2010,1,1556,2972,39.63,0,59935,Beulah,ND,58523,5499,,30,Female,0.00,0.00,0.00,740,4,Mastercard,"Debit (Prepaid)",0,2,55.00,2008-05-01,2008,0,"Good (700-749)",25-34,0.7205
7475341,"2010-01-01 00:27:00",2010-01-01,2010,1,1797,1127,43.33,0,33326,Kahului,HI,96732,4121,,67,Male,0.00,0.00,0.00,743,5,Visa,Debit,0,2,23237.00,2007-02-01,2009,0,"Good (700-749)",65+,0.0019
7475342,"2010-01-01 00:30:00",2010-01-01,2010,1,114,3398,49.42,0,61195,"North Hollywood",CA,91606,5541,,47,Female,0.00,0.00,0.00,725,4,Mastercard,Debit,0,2,27447.00,2008-06-01,2010,0,"Good (700-749)",45-54,0.0018
7475343,"2010-01-01 00:31:00",2010-01-01,2010,1,1634,2464,1.09,0,20519,"San Benito",TX,78586,5942,,66,Male,0.00,0.00,0.00,825,4,Mastercard,Debit,0,2,8638.00,2004-04-01,2014,0,"Excellent (750+)",65+,0.0001
7475344,"2010-01-01 00:32:00",2010-01-01,2010,1,646,2093,73.79,0,1636,Erie,PA,16511,7538,,38,Female,0.00,0.00,0.00,786,3,Mastercard,Credit,0,2,14500.00,2005-03-01,2019,0,"Excellent (750+)",35-44,0.0051
7475345,"2010-01-01 00:32:00",2010-01-01,2010,1,1129,5492,100.00,0,27092,Vista,CA,92084,4829,,49,Male,0.00,0.00,0.00,686,3,Mastercard,Debit,0,2,18109.00,2007-11-01,2010,0,"Fair (650-699)",45-54,0.0055
7475347,"2010-01-01 00:36:00",2010-01-01,2010,1,114,3398,-64.00,0,61195,"North Hollywood",CA,91606,5541,,47,Female,0.00,0.00,0.00,725,4,Mastercard,Debit,0,2,27447.00,2008-06-01,2010,0,"Good (700-749)",45-54,-0.0023
7475348,"2010-01-01 00:36:00",2010-01-01,2010,1,1376,2182,54.27,0,88945,"Cedar Park",TX,78613,5813,,49,Female,0.00,0.00,0.00,543,4,Mastercard,Credit,0,2,13100.00,2008-03-01,2015,0,"Very Poor (<600)",45-54,0.0041
7475349,"2010-01-01 00:37:00",2010-01-01,2010,1,1682,238,20.74,0,21586,"Grand Forks",ND,58201,5411,,57,Male,0.00,0.00,0.00,716,5,Mastercard,Credit,0,2,13200.00,2010-01-01,2014,0,"Good (700-749)",55-64,0.0016
7475350,"2010-01-01 00:38:00",2010-01-01,2010,1,114,3398,64.00,0,61195,"North Hollywood",CA,91606,5541,,47,Female,0.00,0.00,0.00,725,4,Mastercard,Debit,0,2,27447.00,2008-06-01,2010,0,"Good (700-749)",45-54,0.0023
7475351,"2010-01-01 00:38:00",2010-01-01,2010,1,121,5952,57.54,0,11901,Menasha,WI,54952,5300,,34,Female,0.00,0.00,0.00,721,3,Visa,Debit,0,1,18137.00,2008-12-01,2011,0,"Good (700-749)",25-34,0.0032
7475354,"2010-01-01 00:43:00",2010-01-01,2010,1,1755,4228,12.01,0,28666,Cordele,GA,31015,5921,,53,Male,0.00,0.00,0.00,734,6,Visa,Debit,0,1,12519.00,2007-08-01,2009,0,"Good (700-749)",45-54,0.0010
7475357,"2010-01-01 00:46:00",2010-01-01,2010,1,379,3881,4.64,0,50783,Mobile,AL,36695,5411,,47,Female,0.00,0.00,0.00,765,3,Mastercard,Debit,0,1,24232.00,2009-07-01,2009,0,"Excellent (750+)",45-54,0.0002
7475358,"2010-01-01 00:48:00",2010-01-01,2010,1,401,3004,669.88,0,68977,"West Covina",CA,91791,3174,,81,Male,0.00,0.00,0.00,806,7,Mastercard,Debit,0,1,17691.00,2009-05-01,2009,0,"Excellent (750+)",65+,0.0379
7475360,"2010-01-01 00:49:00",2010-01-01,2010,1,652,4293,2.40,0,74624,"East Hartford",CT,6108,5411,,82,Female,0.00,0.00,0.00,784,6,Mastercard,Debit,0,1,19962.00,2009-08-01,2012,0,"Excellent (750+)",65+,0.0001
7475361,"2010-01-01 00:53:00",2010-01-01,2010,1,1963,3317,40.35,0,69972,Vacaville,CA,95687,5814,,98,Male,0.00,0.00,0.00,821,7,Mastercard,Debit,0,1,25297.00,2006-06-01,2006,0,"Excellent (750+)",65+,0.0016
7475362,"2010-01-01 00:56:00",2010-01-01,2010,1,1357,4488,14.57,0,78632,Tacoma,WA,98404,5921,,75,Female,0.00,0.00,0.00,812,7,Amex,Credit,0,1,8000.00,1995-09-01,2003,0,"Excellent (750+)",65+,0.0018
7475363,"2010-01-01 00:57:00",2010-01-01,2010,1,285,3442,7.80,0,81536,Watsonville,CA,95076,5310,,62,Male,0.00,0.00,0.00,731,5,Visa,"Debit (Prepaid)",0,1,65.00,2009-06-01,2009,0,"Good (700-749)",55-64,0.1200
7475364,"2010-01-01 00:57:00",2010-01-01,2010,1,1201,16,2.95,0,61195,Woburn,MA,1801,5541,,60,Male,0.00,0.00,0.00,715,4,Visa,Debit,0,2,55693.00,2000-01-01,2006,0,"Good (700-749)",55-64,0.0001
7475366,"2010-01-01 01:03:00",2010-01-01,2010,1,1703,2969,78.00,0,43293,"Grand Junction",CO,81506,5499,,47,Female,0.00,0.00,0.00,747,2,Mastercard,Credit,0,2,10600.00,2008-05-01,2019,0,"Good (700-749)",45-54,0.0074
7475368,"2010-01-01 01:07:00",2010-01-01,2010,1,414,2815,148.39,0,5258,Morristown,NJ,7960,4900,,45,Female,0.00,0.00,0.00,709,2,Mastercard,Debit,0,1,62703.00,2001-05-01,2007,0,"Good (700-749)",45-54,0.0024
7475370,"2010-01-01 01:07:00",2010-01-01,2010,1,1963,3364,48.12,0,88646,Vacaville,CA,95688,5812,,98,Male,0.00,0.00,0.00,821,7,Visa,Debit,0,1,18384.00,2007-06-01,2009,0,"Excellent (750+)",65+,0.0026
7475371,"2010-01-01 01:08:00",2010-01-01,2010,1,561,3764,7.75,0,86977,Burlington,IA,52601,5813,,48,Male,0.00,0.00,0.00,834,5,Mastercard,Debit,0,1,26960.00,2006-07-01,2010,0,"Excellent (750+)",45-54,0.0003
7475373,"2010-01-01 01:11:00",2010-01-01,2010,1,1642,4281,3.96,0,44625,Manasquan,NJ,8736,5812,,37,Female,0.00,0.00,0.00,731,5,Visa,Debit,0,1,26730.00,2008-08-01,2010,0,"Good (700-749)",35-44,0.0001
7475376,"2010-01-01 01:19:00",2010-01-01,2010,1,989,2511,580.98,0,73661,Thackerville,OK,73459,7995,,78,Male,0.00,0.00,0.00,727,8,Mastercard,Debit,0,2,4707.00,2006-04-01,2015,0,"Good (700-749)",65+,0.1234
7475377,"2010-01-01 01:19:00",2010-01-01,2010,1,1519,2452,10.34,0,12399,Laurel,MT,59044,5813,,41,Female,0.00,0.00,0.00,849,4,Visa,Debit,0,2,19037.00,2003-04-01,2011,0,"Excellent (750+)",35-44,0.0005
7475378,"2010-01-01 01:19:00",2010-01-01,2010,1,1575,2112,17.14,0,29232,Osprey,FL,34229,4121,,51,Female,0.00,0.00,0.00,724,4,Mastercard,Debit,0,1,18138.00,2006-03-01,2008,0,"Good (700-749)",45-54,0.0009
7475379,"2010-01-01 01:22:00",2010-01-01,2010,1,986,4755,1.85,0,14528,"Garden City",NY,11530,5499,,32,Male,0.00,0.00,0.00,703,3,Visa,Debit,0,2,15094.00,2009-09-01,2011,0,"Good (700-749)",25-34,0.0001
7475380,"2010-01-01 01:23:00",2010-01-01,2010,1,1703,2969,71.72,0,43293,"Grand Junction",CO,81506,5499,,47,Female,0.00,0.00,0.00,747,2,Mastercard,Credit,0,2,10600.00,2008-05-01,2019,0,"Good (700-749)",45-54,0.0068
7475381,"2010-01-01 01:25:00",2010-01-01,2010,1,430,5768,200.00,0,27092,"Crown Point",IN,46307,4829,,52,Female,0.00,0.00,0.00,685,5,Visa,Credit,0,1,17700.00,2000-12-01,2009,0,"Fair (650-699)",45-54,0.0113
7475382,"2010-01-01 01:25:00",2010-01-01,2010,1,1703,2969,-78.00,0,43293,"Grand Junction",CO,81506,5499,,47,Female,0.00,0.00,0.00,747,2,Mastercard,Credit,0,2,10600.00,2008-05-01,2019,0,"Good (700-749)",45-54,-0.0074
7475383,"2010-01-01 01:30:00",2010-01-01,2010,1,1357,65,23.08,0,80797,Tacoma,WA,98404,5813,,75,Female,0.00,0.00,0.00,812,7,Amex,Credit,0,2,14600.00,2005-01-01,2014,0,"Excellent (750+)",65+,0.0016
7475385,"2010-01-01 01:37:00",2010-01-01,2010,1,1484,2527,40.00,0,27092,Pinetop,AZ,85935,4829,,92,Female,0.00,0.00,0.00,726,6,Mastercard,Debit,0,2,39533.00,2007-04-01,2016,0,"Good (700-749)",65+,0.0010
7475388,"2010-01-01 01:40:00",2010-01-01,2010,1,1077,2539,2.43,0,46284,Ukiah,CA,95482,5411,,57,Female,0.00,0.00,0.00,576,3,Mastercard,Debit,0,2,17034.00,2007-04-01,2007,0,"Very Poor (<600)",55-64,0.0001
7475389,"2010-01-01 01:40:00",2010-01-01,2010,1,1787,2228,3.77,0,20519,Lexington,KY,40515,5942,,52,Female,0.00,0.00,0.00,689,6,Mastercard,Debit,0,1,27590.00,2009-03-01,2010,0,"Fair (650-699)",45-54,0.0001
7475390,"2010-01-01 01:41:00",2010-01-01,2010,1,247,4155,3.29,0,92883,"Lake Charles",LA,70605,5812,,49,Female,0.00,0.00,0.00,761,6,Mastercard,Debit,0,2,16751.00,2005-08-01,2010,0,"Excellent (750+)",45-54,0.0002
7475395,"2010-01-01 01:47:00",2010-01-01,2010,1,1731,2797,73.46,0,18293,Fontana,CA,92336,7995,,64,Female,0.00,0.00,0.00,704,6,Mastercard,Debit,0,1,16409.00,1998-05-01,2008,0,"Good (700-749)",55-64,0.0045
7475396,"2010-01-01 01:48:00",2010-01-01,2010,1,125,2023,9.16,0,23462,Modesto,CA,95351,5813,,64,Female,0.00,0.00,0.00,724,5,Mastercard,Debit,0,2,1326.00,2001-03-01,2011,0,"Good (700-749)",55-64,0.0069
7475397,"2010-01-01 01:48:00",2010-01-01,2010,1,989,4124,541.29,0,40475,"Arlington Heights",IL,60005,7802,,78,Male,0.00,0.00,0.00,727,8,Visa,Credit,0,2,21600.00,2003-08-01,2015,0,"Good (700-749)",65+,0.0251
7475398,"2010-01-01 01:53:00",2010-01-01,2010,1,63,60,30.69,0,32175,Newark,NJ,7104,7538,,40,Male,0.00,0.00,0.00,660,6,Visa,Debit,0,2,17082.00,2004-01-01,2011,0,"Fair (650-699)",35-44,0.0018
7475399,"2010-01-01 01:54:00",2010-01-01,2010,1,152,2848,177.41,0,86616,"Muscle Shoals",AL,35661,4814,,37,Female,0.00,0.00,0.00,773,3,Visa,Credit,0,1,10300.00,2003-05-01,2016,0,"Excellent (750+)",35-44,0.0172
7475400,"2010-01-01 01:54:00",2010-01-01,2010,1,597,4540,14.20,0,66541,"San Francisco",CA,94131,5300,,72,Male,0.00,0.00,0.00,736,6,Visa,Debit,0,2,76343.00,2003-09-01,2014,0,"Good (700-749)",65+,0.0002
7475402,"2010-01-01 01:55:00",2010-01-01,2010,1,1755,4228,10.61,0,82981,Dublin,GA,31021,5912,,53,Male,0.00,0.00,0.00,734,6,Visa,Debit,0,1,12519.00,2007-08-01,2009,0,"Good (700-749)",45-54,0.0008
7475404,"2010-01-01 01:56:00",2010-01-01,2010,1,1642,4281,3.35,0,44625,Manasquan,NJ,8736,5812,,37,Female,0.00,0.00,0.00,731,5,Visa,Debit,0,1,26730.00,2008-08-01,2010,0,"Good (700-749)",35-44,0.0001
7475406,"2010-01-01 01:58:00",2010-01-01,2010,1,1542,2906,39.05,0,58215,Cleveland,OH,44118,5813,,46,Female,0.00,0.00,0.00,731,2,Mastercard,"Debit (Prepaid)",0,2,65.00,2006-05-01,2009,0,"Good (700-749)",45-54,0.6008
7475407,"2010-01-01 02:00:00",2010-01-01,2010,1,727,4295,6.79,0,72351,"Saint Louis",MO,63112,5541,,44,Male,0.00,0.00,0.00,801,5,Mastercard,Debit,0,1,19086.00,2009-08-01,2011,0,"Excellent (750+)",35-44,0.0004
7475410,"2010-01-01 02:05:00",2010-01-01,2010,1,1097,4690,100.00,0,27092,"Grand Rapids",MI,49548,4829,,39,Male,0.00,0.00,0.00,732,3,Visa,Debit,0,1,17319.00,2008-09-01,2010,0,"Good (700-749)",35-44,0.0058
7475411,"2010-01-01 02:05:00",2010-01-01,2010,1,1453,1117,196.22,0,5009,Middletown,NY,10940,7011,,37,Female,0.00,0.00,0.00,641,2,Mastercard,Debit,0,1,14561.00,2007-02-01,2015,0,"Poor (600-649)",35-44,0.0135
7475412,"2010-01-01 02:06:00",2010-01-01,2010,1,1024,1006,3.83,0,2177,Colwich,KS,67030,5411,,66,Male,0.00,0.00,0.00,739,4,Visa,Credit,0,1,16100.00,2002-02-01,2014,0,"Good (700-749)",65+,0.0002
7475413,"2010-01-01 02:07:00",2010-01-01,2010,1,858,13,1.87,0,81833,Gonzales,TX,78629,5912,,47,Male,0.00,0.00,0.00,700,3,Mastercard,Credit,0,1,14600.00,2000-01-01,2012,0,"Good (700-749)",45-54,0.0001
7475414,"2010-01-01 02:08:00",2010-01-01,2010,1,1084,3454,6.63,0,45926,Tacoma,WA,98403,5814,,36,Male,0.00,0.00,0.00,775,4,Visa,Debit,0,1,35268.00,2009-06-01,2009,0,"Excellent (750+)",35-44,0.0002
7475415,"2010-01-01 02:08:00",2010-01-01,2010,1,1622,2877,8.30,0,43293,Canton,MA,2021,5499,,41,Female,0.00,0.00,0.00,759,1,Mastercard,Debit,0,2,40176.00,2005-05-01,2009,0,"Excellent (750+)",35-44,0.0002
7475416,"2010-01-01 02:09:00",2010-01-01,2010,1,1787,2228,2.75,0,75781,Lexington,KY,40509,5411,,52,Female,0.00,0.00,0.00,689,6,Mastercard,Debit,0,1,27590.00,2009-03-01,2010,0,"Fair (650-699)",45-54,0.0001
7475417,"2010-01-01 02:11:00",2010-01-01,2010,1,34,1166,4.07,0,49789,Sacramento,CA,95829,5541,,41,Male,0.00,0.00,0.00,737,2,Mastercard,Debit,0,2,10775.00,2009-02-01,2010,0,"Good (700-749)",35-44,0.0004
7475419,"2010-01-01 02:12:00",2010-01-01,2010,1,1424,4710,2.31,0,95811,Seligman,AZ,86337,5411,,101,Female,0.00,0.00,0.00,761,4,Mastercard,Credit,0,2,8000.00,2009-09-01,2011,0,"Excellent (750+)",65+,0.0003
7475420,"2010-01-01 02:13:00",2010-01-01,2010,1,121,5952,0.21,0,61195,Menasha,WI,54952,5541,,34,Female,0.00,0.00,0.00,721,3,Visa,Debit,0,1,18137.00,2008-12-01,2011,0,"Good (700-749)",25-34,0.0000
7475421,"2010-01-01 02:13:00",2010-01-01,2010,1,989,2938,396.03,0,73661,Thackerville,OK,73459,7995,,78,Male,0.00,0.00,0.00,727,8,Mastercard,Credit,0,1,28000.00,2007-05-01,2007,0,"Good (700-749)",65+,0.0141
7475422,"2010-01-01 02:13:00",2010-01-01,2010,1,1453,1117,-460.00,0,5009,Middletown,NY,10940,7011,,37,Female,0.00,0.00,0.00,641,2,Mastercard,Debit,0,1,14561.00,2007-02-01,2015,0,"Poor (600-649)",35-44,-0.0316
7475423,"2010-01-01 02:14:00",2010-01-01,2010,1,474,2493,91.02,0,35451,"Williston Park",NY,11596,5812,,55,Male,0.00,0.00,0.00,683,6,Visa,Credit,0,1,16900.00,2005-04-01,2014,0,"Fair (650-699)",55-64,0.0054
7475424,"2010-01-01 02:15:00",2010-01-01,2010,1,1142,4674,3.68,0,59397,Cohasset,MA,2025,5812,,52,Male,0.00,0.00,0.00,716,3,Mastercard,Debit,0,2,43984.00,2008-09-01,2013,0,"Good (700-749)",45-54,0.0001
7475426,"2010-01-01 02:17:00",2010-01-01,2010,1,461,5482,25.97,0,45389,Canton,MI,48188,5813,,42,Female,0.00,0.00,0.00,784,4,Mastercard,Debit,0,1,28963.00,2007-11-01,2012,0,"Excellent (750+)",35-44,0.0009
7475429,"2010-01-01 02:22:00",2010-01-01,2010,1,595,4667,33.02,0,71416,Bullock,NC,27507,4900,,79,Male,0.00,0.00,0.00,699,4,Mastercard,Debit,0,2,16786.00,2008-09-01,2008,0,"Fair (650-699)",65+,0.0020
7475430,"2010-01-01 02:22:00",2010-01-01,2010,1,972,4166,103.97,0,18966,Markesan,WI,53946,4900,,35,Male,0.00,0.00,0.00,681,4,Visa,Debit,0,1,2508.00,2005-08-01,2012,0,"Fair (650-699)",35-44,0.0415
7475431,"2010-01-01 02:25:00",2010-01-01,2010,1,212,2418,2.33,0,61195,Dallas,TX,75227,5541,,52,Male,0.00,0.00,0.00,797,6,Mastercard,Debit,0,2,6795.00,2001-04-01,2009,0,"Excellent (750+)",45-54,0.0003
7475434,"2010-01-01 02:28:00",2010-01-01,2010,1,178,4261,57.43,0,78454,"Grain Valley",MO,64029,5812,,47,Female,0.00,0.00,0.00,727,3,Mastercard,Debit,0,2,17206.00,2008-08-01,2010,0,"Good (700-749)",45-54,0.0033
7475435,"2010-01-01 02:31:00",2010-01-01,2010,1,1077,4104,2.87,0,61195,Ukiah,CA,95482,5541,,57,Female,0.00,0.00,0.00,576,3,Visa,"Debit (Prepaid)",0,2,33.00,2001-08-01,2009,0,"Very Poor (<600)",55-64,0.0870
7475436,"2010-01-01 02:32:00",2010-01-01,2010,1,1155,5784,27.63,0,1903,Miami,FL,33127,5812,,83,Female,0.00,0.00,0.00,689,5,Visa,Credit,0,2,7100.00,2002-12-01,2012,0,"Fair (650-699)",65+,0.0039
7475437,"2010-01-01 02:33:00",2010-01-01,2010,1,1443,4730,76.76,0,59288,Waianae,HI,96792,5912,,47,Male,0.00,0.00,0.00,732,3,Mastercard,Debit,0,2,16392.00,2009-09-01,2011,0,"Good (700-749)",45-54,0.0047
7475438,"2010-01-01 02:35:00",2010-01-01,2010,1,387,4601,9.10,0,75936,Amherst,OH,44001,5814,,34,Male,0.00,0.00,0.00,723,1,Mastercard,"Debit (Prepaid)",0,2,49.00,2006-09-01,2010,0,"Good (700-749)",25-34,0.1857
7475439,"2010-01-01 02:35:00",2010-01-01,2010,1,1998,2160,0.75,0,99312,Burlingame,CA,94010,5411,,65,Male,0.00,0.00,0.00,688,3,Visa,"Debit (Prepaid)",0,1,110.00,2007-03-01,2007,0,"Fair (650-699)",65+,0.0068
7475440,"2010-01-01 02:39:00",2010-01-01,2010,1,706,4284,160.00,0,27092,"Boulder Creek",CA,95006,4829,,33,Female,0.00,0.00,0.00,602,2,Amex,Credit,0,1,13700.00,2009-08-01,2013,0,"Poor (600-649)",25-34,0.0117
7475441,"2010-01-01 02:40:00",2010-01-01,2010,1,503,1088,28.21,0,20561,Chicago,IL,60629,5912,,47,Female,0.00,0.00,0.00,694,2,Mastercard,"Debit (Prepaid)",0,1,39.00,2006-02-01,2006,0,"Fair (650-699)",45-54,0.7233
7475442,"2010-01-01 02:40:00",2010-01-01,2010,1,714,2958,44.86,0,1238,Fayetteville,AR,72703,7393,,61,Female,0.00,0.00,0.00,760,2,Mastercard,"Debit (Prepaid)",0,1,42.00,2008-05-01,2014,0,"Excellent (750+)",55-64,1.0681
7475443,"2010-01-01 02:44:00",2010-01-01,2010,1,908,5154,57.73,0,68751,"Holly Springs",NC,27540,5651,,62,Male,0.00,0.00,0.00,650,3,Mastercard,Debit,0,1,13123.00,2009-10-01,2014,0,"Fair (650-699)",55-64,0.0044
7475444,"2010-01-01 02:45:00",2010-01-01,2010,1,758,2181,6.52,0,75781,Alhambra,CA,91801,5411,,63,Male,0.00,0.00,0.00,764,5,Mastercard,Debit,0,2,5553.00,2008-03-01,2015,0,"Excellent (750+)",55-64,0.0012
7475446,"2010-01-01 02:48:00",2010-01-01,2010,1,1411,1069,4.04,0,10455,"Saint Charles",IL,60174,5812,,57,Female,0.00,0.00,0.00,720,4,Visa,Credit,0,1,18200.00,2005-02-01,2014,0,"Good (700-749)",55-64,0.0002
7475447,"2010-01-01 02:51:00",2010-01-01,2010,1,140,152,3.93,0,61195,Woodbury,TN,37190,5541,,37,Female,0.00,0.00,0.00,739,4,Mastercard,Debit,0,1,13441.00,2008-01-01,2011,0,"Good (700-749)",35-44,0.0003
7475449,"2010-01-01 02:51:00",2010-01-01,2010,1,1424,4710,5.12,0,95811,Seligman,AZ,86337,5411,,101,Female,0.00,0.00,0.00,761,4,Mastercard,Credit,0,2,8000.00,2009-09-01,2011,0,"Excellent (750+)",65+,0.0006
7475450,"2010-01-01 02:52:00",2010-01-01,2010,1,843,184,19.15,0,73365,"Terre Haute",IN,47805,5651,,35,Male,0.00,0.00,0.00,822,6,Visa,Debit,0,2,10495.00,2008-01-01,2011,0,"Excellent (750+)",35-44,0.0018
7475452,"2010-01-01 02:57:00",2010-01-01,2010,1,895,217,58.85,0,88544,"Big Bear Lake",CA,92315,5300,,46,Female,0.00,0.00,0.00,832,3,Visa,Credit,0,1,10300.00,2009-01-01,2013,0,"Excellent (750+)",45-54,0.0057
7475453,"2010-01-01 02:57:00",2010-01-01,2010,1,1313,4183,2.77,0,61746,Sutersville,PA,15083,5411,,35,Male,0.00,0.00,0.00,653,2,Mastercard,"Debit (Prepaid)",0,2,87.00,2006-08-01,2016,0,"Fair (650-699)",35-44,0.0318
7475454,"2010-01-01 02:57:00",2010-01-01,2010,1,1459,3383,2.75,0,47756,Albuquerque,NM,87121,5411,,53,Male,0.00,0.00,0.00,707,3,Mastercard,Debit,0,2,12708.00,2008-06-01,2008,0,"Good (700-749)",45-54,0.0002
7475455,"2010-01-01 02:59:00",2010-01-01,2010,1,474,2493,115.37,0,98648,"Williston Park",NY,11596,5814,,55,Male,0.00,0.00,0.00,683,6,Visa,Credit,0,1,16900.00,2005-04-01,2014,0,"Fair (650-699)",55-64,0.0068
7475456,"2010-01-01 03:02:00",2010-01-01,2010,1,1802,5836,77.70,0,60569,Somerset,NJ,8873,5300,,39,Female,0.00,0.00,0.00,802,2,Mastercard,Debit,0,2,36920.00,2005-12-01,2011,0,"Excellent (750+)",35-44,0.0021
7475457,"2010-01-01 03:03:00",2010-01-01,2010,1,702,4199,120.87,0,61195,"Huntington Station",NY,11746,5541,,46,Female,0.00,0.00,0.00,721,4,Mastercard,Credit,0,2,15000.00,2007-08-01,2007,0,"Good (700-749)",45-54,0.0081
7475458,"2010-01-01 03:06:00",2010-01-01,2010,1,461,5482,23.86,0,45389,Canton,MI,48188,5813,,42,Female,0.00,0.00,0.00,784,4,Mastercard,Debit,0,1,28963.00,2007-11-01,2012,0,"Excellent (750+)",35-44,0.0008
7475459,"2010-01-01 03:08:00",2010-01-01,2010,1,169,3256,11.18,0,2205,Sumter,SC,29153,5813,,85,Male,0.00,0.00,0.00,686,4,Mastercard,Debit,0,1,12591.00,2003-06-01,2010,0,"Fair (650-699)",65+,0.0009
7475460,"2010-01-01 03:08:00",2010-01-01,2010,1,957,4532,-147.00,0,44795,Marysville,OH,43040,3780,,73,Female,0.00,0.00,0.00,605,3,Mastercard,Debit,0,1,27974.00,2003-09-01,2012,0,"Poor (600-649)",65+,-0.0053
7475461,"2010-01-01 03:09:00",2010-01-01,2010,1,140,152,3.92,0,75936,"Whites Creek",TN,37189,5814,,37,Female,0.00,0.00,0.00,739,4,Mastercard,Debit,0,1,13441.00,2008-01-01,2011,0,"Good (700-749)",35-44,0.0003
7475462,"2010-01-01 03:09:00",2010-01-01,2010,1,843,184,27.29,0,73365,"Terre Haute",IN,47805,5651,,35,Male,0.00,0.00,0.00,822,6,Visa,Debit,0,2,10495.00,2008-01-01,2011,0,"Excellent (750+)",35-44,0.0026
7475464,"2010-01-01 03:13:00",2010-01-01,2010,1,957,4532,14.21,0,44795,Marysville,OH,43040,3780,,73,Female,0.00,0.00,0.00,605,3,Mastercard,Debit,0,1,27974.00,2003-09-01,2012,0,"Poor (600-649)",65+,0.0005
7475465,"2010-01-01 03:16:00",2010-01-01,2010,1,1920,3415,24.47,0,35001,"Oak Park",MN,56357,5813,,64,Male,0.00,0.00,0.00,713,4,Amex,Credit,0,1,8200.00,2009-06-01,2013,0,"Good (700-749)",55-64,0.0030
7475466,"2010-01-01 03:17:00",2010-01-01,2010,1,319,248,29.60,0,54850,Fresno,CA,93727,4814,,67,Male,0.00,0.00,0.00,628,2,Visa,Credit,0,2,6800.00,2010-01-01,2010,0,"Poor (600-649)",65+,0.0044
7475467,"2010-01-01 03:17:00",2010-01-01,2010,1,613,1191,22.77,0,44919,Lombard,IL,60148,5814,,39,Female,0.00,0.00,0.00,712,4,Visa,Debit,0,1,28320.00,2009-02-01,2009,0,"Good (700-749)",35-44,0.0008
